Model,Period,MAE_mean,MAE_std,R2_mean,R2_std,Count
ARIMA,2008_Financial_Crisis,0.0209,0.0181,0.9602,0.0258,30
ARIMA,2010_Euro_Debt_Crisis,0.0119,0.01,0.8788,0.0821,30
ARIMA,2015_China_Crash,0.015,0.0113,0.7383,0.2383,30
ARIMA,2018_Trade_War,0.0168,0.0117,0.7139,0.2473,30
ARIMA,2020_COVID_Crash,0.026,0.0112,0.5411,0.3174,30
ARIMA,2022_Rate_Hike,0.0229,0.0104,0.8098,0.1349,30
ARIMA,2023_AI_Wave,0.0151,0.0074,0.8491,0.1064,30
Bi-GRU,2008_Financial_Crisis,0.0286,0.0263,0.9305,0.0537,30
Bi-GRU,2010_Euro_Debt_Crisis,0.0133,0.01,0.7591,0.4593,30
Bi-GRU,2015_China_Crash,0.0152,0.0113,0.7093,0.2553,30
Bi-GRU,2018_Trade_War,0.0171,0.01,0.6147,0.3878,30
Bi-GRU,2020_COVID_Crash,0.0277,0.0102,0.3361,0.4606,30
Bi-GRU,2022_Rate_Hike,0.0268,0.0105,0.6917,0.2815,30
Bi-GRU,2023_AI_Wave,0.0159,0.0066,0.8294,0.1161,30
Bi-LSTM,2008_Financial_Crisis,0.0299,0.0248,0.9248,0.0452,30
Bi-LSTM,2010_Euro_Debt_Crisis,0.0129,0.0106,0.8648,0.0884,30
Bi-LSTM,2015_China_Crash,0.0156,0.0118,0.6922,0.2633,30
Bi-LSTM,2018_Trade_War,0.0205,0.012,0.369,1.2327,30
Bi-LSTM,2020_COVID_Crash,0.0277,0.0099,0.3374,0.4488,30
Bi-LSTM,2022_Rate_Hike,0.028,0.0105,0.672,0.3027,30
Bi-LSTM,2023_AI_Wave,0.0213,0.0113,0.6135,0.4674,30
Bi-RNN,2008_Financial_Crisis,0.0292,0.025,0.8256,0.4027,30
Bi-RNN,2010_Euro_Debt_Crisis,0.0121,0.0097,0.8781,0.0729,30
Bi-RNN,2015_China_Crash,0.0158,0.0116,0.7106,0.2246,30
Bi-RNN,2018_Trade_War,0.0186,0.0101,0.6671,0.2547,30
Bi-RNN,2020_COVID_Crash,0.0267,0.0096,0.4178,0.4086,30
Bi-RNN,2022_Rate_Hike,0.0252,0.011,0.7433,0.248,30
Bi-RNN,2023_AI_Wave,0.0175,0.0064,0.7886,0.1448,30
Ensemble,2008_Financial_Crisis,0.0356,0.0256,0.8665,0.0658,30
Ensemble,2010_Euro_Debt_Crisis,0.0144,0.0093,0.8054,0.1183,30
Ensemble,2015_China_Crash,0.0169,0.0114,0.6746,0.2394,30
Ensemble,2018_Trade_War,0.0181,0.0097,0.648,0.3,30
Ensemble,2020_COVID_Crash,0.0269,0.0082,0.3618,0.405,30
Ensemble,2022_Rate_Hike,0.027,0.0092,0.718,0.219,30
Ensemble,2023_AI_Wave,0.021,0.0064,0.6773,0.2205,30
Mamba,2008_Financial_Crisis,0.0311,0.0288,0.914,0.0699,30
Mamba,2010_Euro_Debt_Crisis,0.0126,0.0103,0.8683,0.0833,30
Mamba,2015_China_Crash,0.0156,0.0116,0.6844,0.3104,30
Mamba,2018_Trade_War,0.0176,0.0115,0.6772,0.287,30
Mamba,2020_COVID_Crash,0.0305,0.0124,0.2682,0.6241,30
Mamba,2022_Rate_Hike,0.024,0.0098,0.7816,0.1615,30
Mamba,2023_AI_Wave,0.0155,0.0065,0.8334,0.1151,30
PatchTST,2008_Financial_Crisis,0.0834,0.0559,0.2142,0.6059,30
PatchTST,2010_Euro_Debt_Crisis,0.029,0.0144,-0.2326,1.1556,30
PatchTST,2015_China_Crash,0.0312,0.018,-0.4538,1.912,30
PatchTST,2018_Trade_War,0.027,0.0113,0.0629,0.8231,30
PatchTST,2020_COVID_Crash,0.0443,0.0112,-0.3334,0.6618,30
PatchTST,2022_Rate_Hike,0.0582,0.0239,-0.5895,1.6911,30
PatchTST,2023_AI_Wave,0.0298,0.0147,0.3463,0.6285,30
SNN,2008_Financial_Crisis,0.0632,0.0483,0.6054,0.3432,30
SNN,2010_Euro_Debt_Crisis,0.0258,0.0185,0.4196,0.5288,30
SNN,2015_China_Crash,0.0293,0.0189,0.2869,0.4715,30
SNN,2018_Trade_War,0.0416,0.0288,0.073,0.4414,30
SNN,2020_COVID_Crash,0.0464,0.0069,-0.3611,0.4619,30
SNN,2022_Rate_Hike,0.0403,0.0086,0.4466,0.3099,30
SNN,2023_AI_Wave,0.0474,0.0183,-0.6645,1.4168,30
