Model,Period,Best_Window,Best_R2,Worst_Window,Worst_R2,Spread
ARIMA,2008_Financial_Crisis,252,0.9611,30,0.9592,0.0019
ARIMA,2010_Euro_Debt_Crisis,252,0.8831,30,0.8715,0.0116
ARIMA,2015_China_Crash,252,0.7562,30,0.6989,0.0574
ARIMA,2018_Trade_War,252,0.7261,30,0.7041,0.022
ARIMA,2020_COVID_Crash,252,0.5584,30,0.5085,0.0499
ARIMA,2022_Rate_Hike,252,0.8169,30,0.7989,0.018
ARIMA,2023_AI_Wave,252,0.854,30,0.8452,0.0089
Bi-GRU,2008_Financial_Crisis,30,0.9449,120,0.9097,0.0352
Bi-GRU,2010_Euro_Debt_Crisis,30,0.8827,252,0.2912,0.5916
Bi-GRU,2015_China_Crash,60,0.7179,120,0.6939,0.024
Bi-GRU,2018_Trade_War,120,0.6402,60,0.5911,0.049
Bi-GRU,2020_COVID_Crash,90,0.3621,120,0.3069,0.0552
Bi-GRU,2022_Rate_Hike,90,0.7215,252,0.6474,0.0741
Bi-GRU,2023_AI_Wave,120,0.84,30,0.8206,0.0194
Bi-LSTM,2008_Financial_Crisis,120,0.9346,60,0.9029,0.0317
Bi-LSTM,2010_Euro_Debt_Crisis,90,0.8705,252,0.8584,0.0121
Bi-LSTM,2015_China_Crash,120,0.7094,252,0.6765,0.0329
Bi-LSTM,2018_Trade_War,30,0.5888,90,-0.3667,0.9555
Bi-LSTM,2020_COVID_Crash,30,0.358,252,0.2982,0.0598
Bi-LSTM,2022_Rate_Hike,90,0.7678,120,0.5758,0.192
Bi-LSTM,2023_AI_Wave,120,0.7262,60,0.4371,0.2891
Bi-RNN,2008_Financial_Crisis,60,0.9461,252,0.4135,0.5326
Bi-RNN,2010_Euro_Debt_Crisis,90,0.8839,120,0.8728,0.0112
Bi-RNN,2015_China_Crash,30,0.7403,90,0.6597,0.0805
Bi-RNN,2018_Trade_War,120,0.682,252,0.636,0.046
Bi-RNN,2020_COVID_Crash,60,0.4341,252,0.3857,0.0484
Bi-RNN,2022_Rate_Hike,30,0.7933,252,0.6459,0.1474
Bi-RNN,2023_AI_Wave,60,0.8042,120,0.7778,0.0264
Ensemble,2008_Financial_Crisis,30,0.9014,90,0.8388,0.0626
Ensemble,2010_Euro_Debt_Crisis,30,0.8571,252,0.667,0.1901
Ensemble,2015_China_Crash,252,0.7095,30,0.661,0.0485
Ensemble,2018_Trade_War,252,0.6621,90,0.6139,0.0482
Ensemble,2020_COVID_Crash,252,0.3838,90,0.3422,0.0415
Ensemble,2022_Rate_Hike,60,0.7545,120,0.6828,0.0717
Ensemble,2023_AI_Wave,120,0.7557,60,0.6368,0.1189
Mamba,2008_Financial_Crisis,252,0.934,120,0.8943,0.0397
Mamba,2010_Euro_Debt_Crisis,120,0.8778,252,0.8445,0.0332
Mamba,2015_China_Crash,90,0.7056,30,0.6709,0.0347
Mamba,2018_Trade_War,30,0.7005,120,0.658,0.0425
Mamba,2020_COVID_Crash,120,0.3965,60,0.085,0.3115
Mamba,2022_Rate_Hike,120,0.7975,30,0.7603,0.0372
Mamba,2023_AI_Wave,120,0.8489,60,0.8213,0.0276
PatchTST,2008_Financial_Crisis,30,0.4595,120,0.0413,0.4181
PatchTST,2010_Euro_Debt_Crisis,60,0.0511,252,-0.8556,0.9067
PatchTST,2015_China_Crash,252,0.2347,30,-1.6055,1.8402
PatchTST,2018_Trade_War,120,0.2312,30,-0.1304,0.3616
PatchTST,2020_COVID_Crash,252,-0.1541,90,-0.5134,0.3593
PatchTST,2022_Rate_Hike,30,0.1851,252,-1.5364,1.7216
PatchTST,2023_AI_Wave,30,0.5963,252,-0.3594,0.9557
SNN,2008_Financial_Crisis,30,0.7724,90,0.2831,0.4893
SNN,2010_Euro_Debt_Crisis,30,0.7952,252,-0.3613,1.1565
SNN,2015_China_Crash,30,0.5596,120,0.0976,0.462
SNN,2018_Trade_War,30,0.2173,252,0.0144,0.2029
SNN,2020_COVID_Crash,30,-0.0725,60,-0.602,0.5295
SNN,2022_Rate_Hike,30,0.5884,252,0.291,0.2975
SNN,2023_AI_Wave,120,-0.1589,90,-1.1114,0.9525
