Window,Horizon,Matched_Period,Strategy,Models,Ensemble_MAE,Ensemble_R2,Ensemble_RMSE
30,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.0033512755762785673,0.9837194681167603,0.003996419985983816
30,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.007348889950662851,0.9230511784553528,0.008593859353507649
30,10,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-GRU,0.010191461071372032,0.8508248329162598,0.01179757899076932
60,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.0037613085005432367,0.9795158505439758,0.004482763141453295
60,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.00817458238452673,0.9043903946876526,0.00957939224480746
60,10,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-GRU,0.010633844882249832,0.8294689655303955,0.012613809749049047
90,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.004239087924361229,0.9737494587898254,0.0050746502430471145
90,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.00896051898598671,0.8844694495201111,0.01053017624666736
90,10,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-GRU,0.011403691954910755,0.8096358776092529,0.013327145406699338
120,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.003798659425228834,0.9782475233078003,0.004619456634740631
120,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.008835620246827602,0.8902883529663086,0.010261565070127819
120,10,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-GRU,0.008894535712897778,0.8799830675125122,0.010581952681523479
252,1,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-GRU+Bi-RNN+Bi-LSTM,0.004335673991590738,0.973829984664917,0.005066856834437369
252,5,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-LSTM+Bi-GRU,0.007960769347846508,0.9133560657501221,0.009119191594245913
252,10,2010_Euro_Debt_Crisis,heuristic,Mamba+Bi-RNN+Bi-GRU,0.00982613768428564,0.8579205274581909,0.011513577274608484
